category,id,mass,scale
CeilingFan,867e571c3e29dfbf66537617184ecf,0.0006634149,0.0017852062
Plate,8824ac5d1d34309794247f03639516c,0.0101830986,0.0166725054
Curtain,1cbe7631e4c7f4fcad6a699dd685278,0.0037683996,0.0013598123
Couch,3c56ceef171fa142126c0b0ea3ea0a2c,0.1756900568,0.0032926185
Couch,d13a2ccdbb7740ea83a0857b7b9398b1,0.3925245813,0.0031265041
Pizza,d3b82280912a9f165db1171a63154512,0.0161153858,0.0082412501
AccentChair,d5a9ace79ac0250cf1dc45af5690b955,0.813804873,0.0099173153
Airplane,a84ed13e20d00d8efdf72715e0af20d,0.0219219349,0.0002110872
TableLamp,aff71b0d462342aa4bf6dad97590bf33,0.260970053,0.0070532856
Vase,20ed6a41058e6b2659f9892433e1b1f4,0.0244591916,0.0002390476
Monitor,659210019333350b4bdecf2af2307ad,0.019409776,0.0027008952
Fork,87acae1c0253280297f47f3057557cbe,0.0012398567,0.0010692799
Sideboard,a9995482be778838738e43095496b061,0.0101427661,0.0021027582
Cabinet,d2802e1e0ce09ab535836c728d324152,0.3796176162,0.0044315032
Bench,769f607f748898c737ac8d648045f9c5,0.1895690963,0.0044266738
CellPhone,59f22509efc4ef00fd99b5d113e1e39a,0.2472995537,0.0001539235
Couch,de14f6786ddc7e11bd83c80a89cb8f94,0.14849153,0.0020677641
EndTable,94e84d32fa6bea47941d71d36a488629,0.0417472666,0.0034715311
WallArt,51f7cdc956f45e5a7bf41c709bc6a298,0.031166622,0.0048020927
ChestOfDrawers,35f80c8cf481848d21fbac718728a36d,0.2028359619,0.0030917629
RoundTable,608ea98ce4a80a61aed393947b9cb125,0.0472920817,0.0037105067
SideChair,e26a20df7d058c72faa0eb11a346ff96,0.0204305515,0.0076864704
SideChair,77c02e92d5628be59db8ad97fd392b59,0.0021445848,0.003090712
WallLamp,6a8eaafa5ac9b617161126370eaf071,0.0012117593,0.0052207995
PaperBox,405e820d9717e1724cb8ef90d0735cb6,0.0124424272,0.0015865728
ToiletPaper,94feb89807f8a115b805ea9e53402739,0.1594149484,0.0249592043
TV,5fd6e1979602465ce939f7fa4def3e45,0.0082465862,0.0021009153
Chair,59ee0ee98def6f1e14b86d5282eb8301,0.0641010182,0.0074523571
Stool,68d8a138f5b6c437ff2e373e12f9852b,0.1220609176,0.0182582602
Desk,a2cf3d4375a5c6a65dea31ce253437e6,0.2442476146,0.0046089257
USBStick,a2d20c909ed9c6d85d723f8969b531b,0.0224730994,0.0034822454
Piano,a2dcfb6f77a72be8a2b299c40b68f70c,0.1868987842,0.000524777
OfficeChair,b33e6d5d6bdab020af7c7ad2549a1b15,0.0627360526,0.0085935663
TableClock,cebb0e2be3b2cc1b474465268b958bdc,0.6692810485,0.0091513455
Bathtub,27bd85ee7721491d7356bed02bfbd08c,0.0962045031,0.0001482759
Monitor,7ad85d1478f03d4f4532b058befb6326,0.048929919,0.0088200957
Printer,ab08139c6b9c6fb8f35554ebed2bf2,0.5131260859,0.0139163122
Picture,335ceaddbef4e448ea3853b778cc0c9a,0.0187257765,0.000524318
Car,e1444e222e50a220f500cc506a763c18,0.0477377095,0.0008833786
WallUnit,654f68a2471715a3c525fc212bb76836,0.4164649336,0.0021297793
LightSwitch,46187b0273450a8826a62c9cd09c9b29,0.1029682091,0.0501396752
Gun,12eedf28d9a948556c1cd53dbc9f7b8e,0.0031430243,0.0073876412
4Shelves,e6b90d7b634f03e0f65dfeec70ceaaec,0.2092343163,0.0022616525
Showerhead,c04fd0df2310b7653321831d2245cf06,0.0024208,0.0070240128
Monitor,d10085421b3cd3a27504aecf4baaa1e,0.0597634293,0.0011074883
Mug,10f6e09036350e92b3f21f1137c3c347,0.0130879738,0.0002682458
Monitor,ed7e0817614b1c155e7087f2d9a278a9,0.0034127726,0.0078116089
Candle,bf7150430f5b5aa12f841233486fac2b,0.0008559815,0.0051443146
Cabinet,54cbe81983534dc153b10fab8d9d7b30,0.0225886775,0.0024032941
ChestOfDrawers,99a860cab594f7542a0d4fac736633d3,0.2067325159,0.0060718934
Bench,9790980a8ff823287ed9296ee19fa384,0.0233697328,0.0039151611
DeskLamp,3394f58677a88dd877ce957e17dd9848,0.0041433852,0.0099073995
DiningTable,8c3e8ef43fdacf68230ea05136ea3925,0.1405058279,0.0071837095
Gun,42291af681d91a6493ceff0200cb9e84,0.0445068976,0.00039337
PillBottle,ec42773c595dc08e4d678187b8261d95,0.6679356821,0.0082791745
PottedPlant,97e48b2f1fec6766369afccd91838cfa,0.0022026212,0.0069836066
LightSwitch,6a2f5f90398dca6beba48c111b1850fd,0.0274754804,0.0396796455
Plant,1043b403dd2e79128081f4adb71040,0.0005528094,0.0001094407
Cap,60104a0945f83b063f30fadefd6911f2,0.1278957339,0.002015095
CeilingLamp,1dbb34b55a78c1aea72fb89aa30b6583,0.0098601264,0.0005369796
Stapler,d5bf98bf95aa2148feade703f360c921,0.2656994612,0.0695182253
Piano,3e2a452e802b178eb72f1eb118b6fbc3,0.0223602257,0.0007142931
Plant,a1d7991f4290528b378b1c2b7c1f68f7,0.0102261939,0.0002814112
Vase,be15eb13b784d6c935836c728d324152,0.0111081604,0.0113390781
TV,3d0a062c24d4a9eaf31883de1fc270a1,0.0259629148,0.0034069774
Cabinet,b239d60065c19a4b3ad289a22eb6ff63,0.0125686625,0.0013880736
CellPhone,9ddd4f60765fe56df7a6ba154b1bfb92,0.4837715614,8.48198e-05
Candle,cf1b637d9c8c30da1c637e821f12a67,0.0096957664,0.0141453689
PaperClip,aa9e9ada49384b2dd815bd092caa41a1,0.012107012,0.0008042857
Cup,d7afcf40b20235c37d6b772ca12ba5aa,0.0026779208,0.0131186647
Pizza,fa0905ba5ca49fecb77445a6633883a,0.0294297504,0.0107003224
Couch,a17f6d35f289433b5112295517941cf7,0.2426963731,0.0029621009
Monitor,4a21927379f965a9e4b68d3b17c43658,0.5689677422,0.0170171752
SingleBed,91246d353c69a6e9796590e92d9821e8,0.5187402868,0.0038346149
Monitor,ddd82fb23a12e2eb2c8bd51dc6fc05b,0.0854510255,0.010226881
Desk,bdf21e44f61f23b4a8699b6183baa203,0.0489122833,0.0013499826
PosterBed,f5f8fe12a1afe7bc98d5fc0473d00a1c,0.0259255267,0.0009879033
FoodItem,27cd39f831e73e03dd37f1676f84f13,0.1997804257,0.0155768381
Bottle,6d680415396d14d4d7c5502d4a22edf5,0.1430727365,0.0281413463
Desk,b63ab8d3dd4eee098d95727c923f3722,0.0890922183,0.0044400753
Picture,ac0a1374c9c1df5d6ab1a912a88dca35,0.0017124968,0.0017728066
AccentTable,719439f45bc9de7dadbcc9ee28cee4cb,0.168073688,0.0115330393
Table,32d64e4638eb6e371594fba9df8f37fb,0.2766091999,0.0063320124
ChestOfDrawers,5f55127e04171d6435836c728d324152,0.2111507058,0.0042260184
Sectional,a6cd2326b2660ac9a4dc2316a7e66d36,0.3042721441,0.0022547885
AccentChair,fd9b63c23342e57045b799df37b9f05,0.0097644529,0.00014974
Copier,b8722b736204306c336094a98bcf39d7,0.1651736016,0.0034408978
ChestOfDrawers,75e5e9eaa8181ba1dd06db8a207958f1,0.5158204964,0.0052882149
PS3,eaa8098b84b96511facb3969777cc1cb,0.0449269221,0.0002653039
Chair,c2220851bf50eda931ecc34700496180,0.1070587888,0.0097666666
Cabinet,4a28c0ef7711012ab64e2d4ab94c4e13,0.6020633287,0.0009882775
Copier,3387e118aec3bcc17234af9602711ad,0.0301100872,0.0023813976
WallLamp,57ea2d1d5ebbf3d26c0d00d7110e85c,0.096728182,0.0174990735
Chair,215b21155b328d319201f2703b45dd7,0.0277671291,0.0089014205
FloorLamp,c5b6259812704f11e3ebe8b18779c486,0.009282756,0.0001116929
Desk,2ba5c76821cd4e021c19e7863a1c200b,0.1004508156,0.002178853
DiningTable,7a2a9842c1b880a9bc0a82ff1becb1,0.0606775465,0.002499484
Monitor,2e201bee87ef330635d7f06d01766a4a,0.03382816,0.0073442249
Wii,35cbb4482d488567622451d092ef467e,0.1316707372,0.0009662144
CellPhone,8ede5d8c00e10a2ff35554ebed2bf2,0.0054548335,0.0207310505
TrashBin,f1108ab36ce63f2fe3bc44bb1006d615,0.9791508907,0.0076242155
Painting,ccc966bee58b7b2b8821ad3452f1c8c9,0.006139747,0.0008402895
Basket,91b15dd98a6320afc26651d9d35b77ca,0.101265932,0.0083291764
QueenBed,deed72a8ea33d4daff13afe46706abb1,0.5436628954,0.0044601332
Armoire,ea5f7c0058b29171a07adf211fc9c0d3,0.2002565232,0.0027676583
Desk,213dbdf39a75ec331e93ca76287e533,0.0104118575,0.0023214642
Dresser,e5bd1675d43422bb61706e18472540d6,1.4839488819,0.0077872779
LampPost,9d1e04bd3df11256bef045a510a22fbb,0.0042395125,0.0026226895
TV,d4d8dd7053596249bc1905b3bc668597,0.0622379118,0.0027984421
TableLamp,ff22bf19e2ef19d12f7ffc95c59dca52,0.0013757651,0.0041813751
CeilingLamp,424a14c84cd36bc322ed2ef5fc90e25,0.0387263944,0.0120099015
Bathtub,e90b251f9f026ab36b354c7301136f53,0.0189317075,0.0029648463
Desk,bba5278b8007e2e32d7d0186d6bf7d51,0.0843392506,0.0041628494
Stapler,471b51bcbbce70c22f81cb887dc35578,0.0386764538,0.0274651278
ToyFigure,ed09908f11125fb6b1610c1351add50e,0.0072390391,6.34068e-05
Pencil,8074afcf6a37f4147e9151ed018cea4,0.0094552515,0.0003190158
Bottle,5e896bc124bc0af9fd590443d27a974e,0.0301971059,0.029326528
Cup,c59440ee1e2e1433f15777656316b8aa,0.002215612,0.0001866642
DeskLamp,9150920591733fae0fa444666ebe22d,0.000746145,0.000404127
Dresser,c81c83740348b252d909824e324b2b32,0.0054092844,0.0020620306
Desk,c6575b4c39a341c698d5fc0473d00a1c,0.1289741635,0.0043145936
Picture,cd1e911b8571721998d5fc0473d00a1c,0.0386764847,0.004449316
PottedPlant,fe5466a632a086615ceca07adb73b8b8,0.0030141853,0.0079706316
EndTable,e64f3681d7c76bb743638dabe1eb5336,0.1284959331,0.010366549
Sideboard,dc26180c4ee0052f39c9b22055d58f7b,0.5139502949,0.0046023198
Piano,ce4945cde785aecb478fa0ab37c461c6,0.5131817809,0.0041336851
WineRack,b38c843d90754528a5d9ad16964840ab,1.1662322004,0.0132185427
RoundTable,2802cf2a675250806d581711277ecf34,0.026899553,0.0019877573
Desk,b92290c9eecc9eb6d7b294ba15caa94a,0.3728984312,0.0036438788
Barstool,d4fd2dd6e3407f0f5a2aa419fded589d,-0.0007823464,0.0063937248
LampPost,13c8bf6b41e555b78821ad3452f1c8c9,0.0014617032,0.0012117957
Piano,88f854b66978d1c45caaf941a8fac2d7,0.1739410046,0.0014726556
Bowl,9bc687dcffc25b955d20b6ca8788556a,0.4218590677,0.0006513436
Monitor,21ad9636dfcc9578c78df40cf2e9097a,0.0339912821,0.0059355364
Basket,a124998e1cf5395b924bf081da6f024c,0.2790845976,0.0057484009
TV,624f4dac5d18ac9c6fc588a8e4bb2f15,0.0026955063,0.0001717938
Refrigerator,bd0c75addf2ff59aafae0c879d407c34,1.7816849515,0.0044370899
Cup,64ce0c349a57f9ca488887a53f46a53,0.003234141,0.0154696009
Keyboard,4d81945e49efb45cff6dea665100c5bc,0.0172208141,0.0024756374
ChestOfDrawers,404ea3286002fe369174750cc2a009c3,2.4480328944,0.0115612261
Suitcase,133c16fc6ca7d77676bb31db0358e9c6,0.0181030131,0.0035824554
Sideboard,c30697fdfafb72ec65a958985090332e,0.008846749,0.0014068267
Whiteboard,871dcd6740ed8d2891a7ac029a825f73,0.0791035802,0.0010701874
PictureFrame,80afc86e8a3179bb8d416f859ef1488f,0.0321063352,0.000815071
RoundTable,d527fbf96cb7a03b1b102ed29380b68f,0.0907920383,0.0064162086
OfficeSideChair,db4344ce8cc093e27d674b0299f0214e,0.0069782566,0.003889438
Painting,c9aeb70c7b8ca6038706922c1df0dc60,0.071592896,0.0056958633
DrinkingUtensil,c491d8bc77f4fb1ca4c322790a683350,0.0064643597,0.0187359206
Pizza,2d89a3594a33a4a8d81345019d0d7fb2,0.0877990291,0.0202682123
Table,5db63af675507081118ddfdb81cc6068,0.0681999195,0.0023723536
DeskLamp,26f2f40fa7fc0c5538b28f94c165f833,0.1454937059,0.026579657
Cup,39676deca53bdfe568bc0d099ddc0d94,0.0038148441,0.0046528874
Spoon,dfd87854f4686dffabeb890a269504bb,0.0002882158,0.0002465695
Couch,b5fe8de26eac454acdead18f26cf2ece,0.1601219156,0.0006010579
WallUnit,c95ab0f16f5516eb6fea61990568aacc,0.2444852789,0.0052882504
Chaise,506000587c25a81bab9281d3b84673cf,0.0825869713,0.0021836332
Vase,ea4b33d425d8535047efcaa87d68903f,0.0060294777,0.004440975
Cabinet,a6bba45e7292ae2443638dabe1eb5336,0.0616415852,0.0040733892
Printer,df443a41d3b4f092d5805a1d6e49bc4e,0.2480399886,0.0009698183
OfficeSideChair,3d988ea2b68f48c7492d9da2668ec34c,0.0101231456,0.0003754817
Lamp,9122c26da2698582a156590b19c3013b,0.3056307321,0.0049935512
Stapler,caf969330183ff8f4e08ba22112c59b1,0.0036192177,0.016766658
TV,976ac71df97c9cd22bf3161ae4fda942,0.1998738462,0.006243583
Pencil,6de63a5f1874884324f58288a11555cb,0.0134585467,0.0050730992
ChestOfDrawers,5d9a24f5a0f570c56e71174964d90e49,0.7149975761,0.0092574117
Books,45e888388c36cace7c6ab6f4a65805ac,0.2161789564,0.0069702023
Eraser,d9dd595ae6cae5bc9f4c3c326d704746,0.0339187162,0.0006855607
ToyFigure,e1de6d7d3107eea92b49ae088eb68f85,1.0831020798,0.0004974153
CellPhone,378bb409b48e53835b6639c43a38be21,0.0228849064,0.0012852023
Picture,67175832b1aad314794df10f32840e3d,0.0494838519,0.0054615869
Desktop,18e56f350d1cc7687b88e0ae521fe6b4,0.0891163044,0.0001219385
Knife,444e269649312fa20005c20ac894a3b,0.005979514,0.0001535644
Chair,6a878ab386c927e6d1a63a2e2039ff73,0.0093300995,0.0049503246
Sink,ea3f0120b6f589536a22687e5084fa71,1.8608655255,0.0066917881
TV,50b4dfb725d694b7d39f9e7f9f528702,0.0359458704,0.0002090755
CoffeeTable,4a5fa41eb0fff4496316c951e41c61a5,0.0221959057,0.0043292954
Picture,a4479090d2e0939ee4b1c2efb094888b,0.1418420918,0.0067715557
WallClock,663e8f056e9ea81772e0da953d900dd,0.0360551417,0.0005199122
NintendoDS,6ec5528fb04c5b8e9a9bf2cd62bd4fba,0.1978606053,0.0257050468
Mirror,d579d22b8a1c2fcdd0e326df7b92a666,0.014247753,0.0038518351
Couch,d01ce0f02e25fc2b42e1bb4fe264125f,0.0230359727,0.0026037053
Vase,38db6c39ee6d8a9d80fa98b5eeb7036c,0.013250936,0.0005214465
Microwave,ed1b5115f9aedd695c3e27cf684fad1e,1.4115204199,0.0003897829
Desk,f201949c0dda436f96d5fa1ee6ada8d1,0.0399336158,0.0013163852
Teapot,ce04f39420c7c3e82fb82d326efadfe3,0.0050705754,0.0057749326
SodaCan,afca2ba231d09bd8426cf74c11dbdbc3,0.0317602769,0.0368528212
PaperBox,be67e4f262d2053eccf7aef4eb2e6c55,0.1341191555,0.0031965356
WineBottle,7b1fc86844257f8fa54fd40ef3a8dfd0,0.0374962795,0.001502582
Gun,2f2f0e72a0088dd0f9b0754354ae88f5,0.0116332951,0.000485808
OfficeChair,ea3723766e96331ff91663a74ccd2338,0.050352058,0.0053824761
TV,18371c836b01c024b41d52ced3f83dc3,0.295723971,0.0098190578
DeskLamp,686dfa4449cbe192baf31bf516806a37,0.0004654554,3.3258e-06
Backpack,54cd45b275f551b276bb31db0358e9c6,0.6030357741,0.0146931191
PianoKeyboard,32d68bd4315a43b9ab740b857f575c7f,0.018119888,0.0039233911
Picture,9d8292964921baf78af30108ea9ccb6c,0.0455937034,0.0039163287
Armoire,891e56eed3fe1debeca22c501ad0a77a,0.7691554434,0.0024633862
Cabinet,7ded2763462c2fd335836c728d324152,0.2548524576,0.0059672734
LampPost,13c8bf6b41e555b78821ad3452f1c8c9,0.0013596368,0.0011829071
Picture,cfe032de940c5a1270617ef7a93d4604,0.1946006922,0.0967835245
WineGlass,9d506eb0e13514e167816b64852d28f,0.0137485287,0.0014183805
Speaker,67f091721c90a533d747b49524a1246e,0.2649266168,0.0038267885
Chair,af8e0cb5fe85f5219fb4103277a6b93,0.0755145963,0.006589397
Speaker,15fb39da1ab90994a9504db65c138da5,0.5052984564,0.0004591437
Couch,a84ff0a6802b0661f345fb470303964a,0.022548284,0.0009740386
Plant,3e5803f8c3d254b8c785f06f424b9d06,0.0093965548,0.0022699152
Dresser,c031c55d7ff5bd7d824080f516909671,0.1084757874,0.0046688982
ChestOfDrawers,9c13d8c2826c206907b913fb06486e5,0.0966590957,0.0056399
SideChair,7b518d083d319c044b50b60f24a833ab,0.0326780774,0.0085630166
Cup,dc1c220c8ef89a5d1a57566a9a7e5976,0.0060112598,0.0167127064
FloorLamp,364ea921dbd5da869a58625fdbc8d761,0.0057201742,0.0069974436
TvStand,c8d3090c08be91456e9d040e630cf7e5,0.0779456219,0.0038111457
Desk,a63805ab904dd097f7e3d27650f0be7b,0.1757218058,0.0053231016
Gun,8c769f47d8d5b0c84b681a5f8ea211b6,0.0082446234,0.0021784749
OfficeChair,79850e4ff6e43e6b3dfa4373373135f6,0.1498663739,0.0073198683
Chair,198a3e82b102529c4904d89e9169817b,0.0866972919,0.0030224049
Oven,47c68395a5775e10d9deb3f829cc2475,0.0662890752,0.0029176401
Chair,b6a810f92dd9d2e635836c728d324152,0.0023076428,0.0026299543
Car,aeeb2fb31215f3249acee38782dd9680,0.2317397652,0.0016447687
QueenBed,b99f351f095673f67dde3eab9709537b,0.8775712487,0.0033187656
Couch,63d0dd6566dfec32ea65c47b660136e7,0.1158172634,0.0025851622
Mirror,7886fea5f3b313cce8b7617437747e82,0.0037619053,0.0021910146
Laptop,cb090bd99ed76f9689661310be87a70d,0.0162781734,0.0001569955
Monitor,9e087d56d1264f0bae8d825afe55a6fb,0.2639444045,0.0149331948
Coin,88b7181e1b7ff59251ddf7810ac75c3,0.0406798197,0.0016820869
PottedPlant,ab499159f03dfb4951184e96a017458c,0.0502179871,0.012732064
Fish,aacfe11dc944cee2fb6607aaed47575,0.0619735999,9.7746e-05
Mug,5d72df6bc7e93e6dd0cd466c08863ebd,0.0049341818,0.0040788313
Toilet,9402b6db4192c3151cc00550ccb8f129,1.0703071488,0.0088258578
Chair,ae50497e95773de7f9b9977a2406713a,0.3624155633,0.0076591297
Guitar,c6fa7cd09d414deef531ac1a731c91b9,0.0206475343,0.0067725818
OfficeChair,6ebfa5329b0d1439d4ea3f4c41b1b9bb,0.1677189642,0.0076831849
Nightstand,2519505d0cee2edff08984f51debc075,0.1522354332,0.0091008567
LoftBed,82ff5d6c758ae35d18ca2b0c0c41981e,0.1597347997,0.0002382513
OfficeSideChair,209dffc2dbbf8f67a8699b6183baa203,0.1923617707,0.0089375641
SodaCan,16526d147e837c386829bf9ee210f5e7,1.4690267336,8.37759e-05
Sectional,a7d4e0cce80267ac83f4566cf0664c43,0.1740272504,0.0016667025
Laptop,64690e8eb7567389f8a97f238a8ceb14,0.0280622162,0.0102154831
Mirror,d23187b889042017cc4cd6c58bd35c0c,0.0120118139,0.0049076597
ToyFigure,2936cf91218a53dee04e4d5188c661b9,0.4098879563,0.0040472025
Sectional,a7d4e0cce80267ac83f4566cf0664c43,0.2825973555,0.0019590327
Bucket,4ec0e5dad7885dba724d867867ccd9fb,0.0372121493,0.0145427956
TV,617ad62681b93df2f00aae52edb0b7b,0.0601417848,0.0008486769
Cabinet,30a61d3de0af34c98003bebfc69e68f4,0.8511642691,0.003275368
Curtain,bfcfe4e55bd4ff3ca35a7666f0cfa5bb,0.0092053123,0.0023034442
LightSwitch,d7bf02ee873e86c469d6e26572bd40e5,0.0107102199,0.0348644997
Couch,ca3e6e011ed7ecb32dc86554a873c4fe,0.2030013839,0.0023071261
Chair,5eb6ad0960250dddffc127a39b3c57b1,0.3207660666,0.0044484124
Teapot,5a471458da447600fea9cf313bd7758b,0.0717412411,0.0009120302
PowerSocket,5d418f5b6bde3938724d867867ccd9fb,0.0213949278,0.0624963441
Chair,2d1f6e50aad6d88721fbac718728a36d,0.0460172173,0.0046388779
WallArt,a7004cf21d883a919757674d08f701d6,0.0236079999,0.0037585367
Book,4e0eab530e900d09bcbccbbd6200163,0.0694724037,0.0013541524
Rack,492ffdc6d171d3e67436f809bb441e0b,0.0012566572,0.0048813409
ToyFigure,7b1aa17a326177a1fad30cd586639ed2,0.0329248333,0.0014849714
OfficeChair,6e6443ee6c59ee4f847d4e46a1f9f05,0.0689073919,0.0096827194
Fruit,e36e008ee74c2ffcf338a37c4adf9d76,0.0208664099,0.0245755608
CellPhone,7b8cee15c14823463ff936510fe2e02f,0.013362763,0.0005841294
Keyboard,3714f64af44a135f6d3e11439c6c22c8,0.0020770453,0.0005135797
Couch,aa5fe2c92f01ce0a30cbbda41991e4d0,0.0629478424,0.0013998904
WallLamp,f429f64e3af31fe8fcb8d8c6d4df8143,0.1311362934,0.0145633318
TV,e32d2416ca9b5bb7a186ecbc0474571d,0.0025874439,0.0021562798
AccentChair,f191bae33c32dc2fe3f7a74e12a274ef,0.3042221623,0.0076034712
Chair,b0f1e7888796d8e1ad5067eac75a07f7,0.0071273818,0.0049989214
MediaPlayer,fe6cb09644efb85b9267ea2d9cca9492,0.0628663012,0.0121476275
Flashlight,7981d1894a5b3c371b92a1339af2f7ce,0.0234579342,0.0328940969
Gun,31a0c1adeefa95f488b9635e60aa884,0.0223262413,0.0018691266
Horse,18277a2b26cce4945932aa8e4205e707,0.0098481361,0.0012357669
OfficeChair,9e14d77634cf619f174b6156db666192,0.0147316047,0.0029387857
Monitor,1729448a8c1d39b3368c34d19170a090,0.5217626853,0.0154639883
Mug,9ff8400080c77feac2ad6fd1941624c3,0.0823869963,0.0269429726
CeilingLamp,4aac71c8560fe0a8848927fd73ed0548,0.1036222829,0.0042656862
CupCake,f0478ebaf78cf805749b5e5d3d88edcd,0.0127802593,0.0316195291
PottedPlant,70367e4fd1ad753427eb00c151c6f711,0.0150362303,0.0095887011
TableClock,6d12c792767c7d46bf3c901830f323db,0.0143107999,0.0104115902
Cabinet,16cc827a66868ff8f1f1df092810329,1.8118226316,0.0078482768
TrashBin,c5d49f41924ce872b7a97a3c2b004475,0.1883809138,0.0047840355
WallLamp,1e747d39be07ca525f037ea583cdb0ca,0.0413019734,0.0089091524
NintendoDS,594bf8ec9ff15a97ec6bc90f1be5fb1f,0.1422194095,0.0388173804
PianoKeyboard,8775d936d5f3f38176145360ae4439bd,0.0729099255,0.0062891586
Sideboard,dc627a12f69ae7d4738e43095496b061,0.1076451848,0.0035912524
Refrigerator,f572c1af79508f9b8c8235e81eabfb7c,0.2172359161,0.0029480552
Shirt,6fb3e68b114f8c237525755bcbbbf0f,0.0651148999,0.0002218995
Bear,1d8d5e96803c04e3f21c57f8caa5d803,0.2795365702,0.0564024742
Piano,532420acbb08cdb410a322420f6f5d87,1.2129274397,0.005888371
Dresser,6e6801ca4a03a1adc672720c52b0e374,0.1189407554,0.0032119492
Couch,9136172b17108d1ba7d0cc9b15400f65,0.0220456751,0.001401395
Car,8d25182a83eadf3b65656a35467c62d7,0.4881573929,0.0020968337
CerealBox,a69cca2394a1da2c3df318a0e4be8421,0.0252608573,0.0067899246
Vase,2052e69d5151c5d535836c728d324152,0.0061488431,0.0058134769
Stapler,d9378f9a4a7d6514602a101aa41a6f48,0.0071160426,0.015770284
MediaPlayer,33eaa697dbacf485e068b0486650d973,0.3024858315,0.017124248
Fan,6d0d955e157df3b854c4a6fc7393870c,0.1922463162,0.0006889928
Dresser,ef720f831d66f1dfb9e9d2d0e08dd336,0.0927046723,0.0035372501
Chair,6bcabd23a81dd790e386ecf78eadd61c,0.0033351582,0.0030405902
ChestOfDrawers,7e2e24fed142bb20310af74324aae27f,1.112588628,0.0092390286
Stapler,6aedeceedd68c20326373299cfdd658,0.0303913536,0.0028954366
Speaker,18abbf4da8320e69438aef443c33bffd,0.0248589722,0.0051789342
ChestOfDrawers,331568becc7596285257428a7d0621fc,0.0152755273,0.0032451617
Recliner,f6420a3a3addd027f67be63aca8832dd,1.6364730669,0.0071624805
Refrigerator,62bdc3b6e3be9b4449442282ecbe8f5f,0.7790179318,0.003338888
Curtain,6f3da555075ec7f9e17e45953c2e0371,0.0213976627,3.857e-06
6Shelves,9ae951aa3841a27fb80b68728684f2ff,0.1374267218,0.0035637456
